剧本ID,剧名,角色名,行当,性别,服饰备注
01026002,受禅台,汉献帝,老生,male,
01026002,受禅台,曹丕,净,male,
01026002,受禅台,司马懿,净,male,
01026002,受禅台,华歆,副净,unknown,
01026002,受禅台,李伏,末,unknown,
01026002,受禅台,王朗,净,male,
01026002,受禅台,贾诩,末,unknown,
01026002,受禅台,曹洪,净,male,
01026002,受禅台,曹休,净,male,
01026003,兴赵灭屠,程婴,外,unknown,
01026003,兴赵灭屠,屠岸贾,净,male,
01026003,兴赵灭屠,韩厥,末,unknown,
01026003,兴赵灭屠,晋成公,小生,male,
01026003,兴赵灭屠,赵武,小生,male,
01026003,兴赵灭屠,荀斌,生,unknown,
01026003,兴赵灭屠,魏绛,副净,unknown,
01026003,兴赵灭屠,羊舌职,丑,male,
01026004,黑驴告状,包拯,净,male,
01026004,黑驴告状,白桂娥,旦,female,
01026004,黑驴告状,范仲禹,老生,male,
01026004,黑驴告状,翟绅,丑,male,
01026004,黑驴告状,翟缙,丑,male,
01026004,黑驴告状,僧人,丑,male,
01026004,黑驴告状,李保,丑,male,
01026004,黑驴告状,李妻,彩旦,female,
01026004,黑驴告状,邻居甲,外,unknown,
01026004,黑驴告状,邻居乙,丑,male,
01026004,黑驴告状,邻居丙,末,unknown,
01026004,黑驴告状,地保,丑,male,
01026004,黑驴告状,白斌,小生,male,
01026005,胭脂判,胭脂,贴旦,unknown,
01026005,胭脂判,王氏,旦,female,
01026005,胭脂判,鄂秋隼,小生,male,
01026005,胭脂判,宿介,丑,male,
01026005,胭脂判,施县令,末,unknown,
01026005,胭脂判,吴巡按,老生,male,
01026005,胭脂判,毛大,副净,unknown,
01026005,胭脂判,牛父,外,unknown,
01026005,胭脂判,牛母,老旦,female,
01026007,滚鼓山,张飞,净,male,
01026007,滚鼓山,刘封,丑,male,
01026007,滚鼓山,廖化,老生,male,
01026008,三结义,刘备,老生,male,
01026008,三结义,关羽,生,unknown,
01026008,三结义,张飞,净,male,
01026008,三结义,苗信,丑,male,
01026008,三结义,浪儿,丑,male,
01026008,三结义,熊祥,丑,male,
01026008,三结义,熊虎,净,male,
01026008,三结义,张继昌,末,unknown,
01026008,三结义,张鸾姣,贴旦,unknown,
01026008,三结义,游人甲,末,unknown,
01026008,三结义,游人乙,生,unknown,
01026008,三结义,游人丙,小生,male,
01026008,三结义,游人丁,丑,male,
01026008,三结义,张妻,贴旦,unknown,
01026008,三结义,方雄,外,unknown,
01026008,三结义,于申,净,male,
01026008,三结义,酒保,丑,male,
01027002,三门街【三、四本】,李广,武生,male,
01027002,三门街【三、四本】,徐文炳,小生,male,
01027002,三门街【三、四本】,徐文亮,小生,male,
01027002,三门街【三、四本】,洪锦,净,male,
01027002,三门街【三、四本】,洪母,老旦,female,
01027002,三门街【三、四本】,史逵,丑,male,
01027002,三门街【三、四本】,张谷,武丑,unknown,
01027002,三门街【三、四本】,牛洪,副净,unknown,
01027002,三门街【三、四本】,太白金星,末,unknown,
01027002,三门街【三、四本】,傅璧芳,武生,male,
01027002,三门街【三、四本】,洪锦云,旦,female,
01027002,三门街【三、四本】,马骜,副净,unknown,
01027002,三门街【三、四本】,马院子,丑,male,
01027002,三门街【三、四本】,酒保,丑,male,
01027002,三门街【三、四本】,钱氏,旦,female,
01027003,三门街【五、六本】,李广,武生,male,
01027003,三门街【五、六本】,萧子世,老生,male,
01027003,三门街【五、六本】,楚云,小生,male,
01027003,三门街【五、六本】,徐文炳,小生,male,
01027003,三门街【五、六本】,徐文亮,小生,male,
01027003,三门街【五、六本】,张谷,武丑,unknown,
01027003,三门街【五、六本】,甘宁,净,male,
01027003,三门街【五、六本】,胡逵,副净,unknown,
01027003,三门街【五、六本】,郑九州,末,unknown,
01027003,三门街【五、六本】,蒲龙,净,male,
01027003,三门街【五、六本】,蒲虎,净,male,
01027003,三门街【五、六本】,蒲毬,净,male,
01027003,三门街【五、六本】,牛洪,副净,unknown,
01027003,三门街【五、六本】,黄贵,丑,male,
01027003,三门街【五、六本】,梅氏,旦,female,
01027003,三门街【五、六本】,徐福禄,小生,male,
01027003,三门街【五、六本】,钱小姐,旦,female,
01027003,三门街【五、六本】,钱氏,正旦,unknown,
01027003,三门街【五、六本】,茶房,丑,male,
01027003,三门街【五、六本】,禁卒,丑,male,
01027004,三门街【七、八本】,徐福禄,小生,male,
01027004,三门街【七、八本】,白艳红,武旦,female,
01027004,三门街【七、八本】,范其鸾,外,unknown,
01027004,三门街【七、八本】,正德帝,末,unknown,
01027004,三门街【七、八本】,徐文炳,小生,male,
01027004,三门街【七、八本】,刘彪,净,male,
01027004,三门街【七、八本】,丫鬟,贴旦,unknown,
01027004,三门街【七、八本】,白母,老旦,female,
01027004,三门街【七、八本】,桑黛,武生,male,
01027004,三门街【七、八本】,蒋逵,小生,male,
01027004,三门街【七、八本】,范夫人,老旦,female,
01027004,三门街【七、八本】,范小姐,旦,female,
01027004,三门街【七、八本】,婆子,彩旦,female,
01027004,三门街【七、八本】,桑氏,旦,female,
01027004,三门街【七、八本】,钱塘知县,末,unknown,
01027004,三门街【七、八本】,黄贵,丑,male,
01027004,三门街【七、八本】,八教师,副净,unknown,
01027005,三门街【九、十本】,范其鸾,外,unknown,
01027005,三门街【九、十本】,徐文炳,小生,male,
01027005,三门街【九、十本】,徐文亮,小生,male,
01027005,三门街【九、十本】,史锦屏,武旦,female,
01027005,三门街【九、十本】,李广,武生,male,
01027005,三门街【九、十本】,楚云,小生,male,
01027005,三门街【九、十本】,胡逵,副净,unknown,
01027005,三门街【九、十本】,桑黛,武生,male,
01027005,三门街【九、十本】,张谷,武丑,unknown,
01027005,三门街【九、十本】,钱塘知县,末,unknown,
01027005,三门街【九、十本】,杭州知府,副净,unknown,
01027005,三门街【九、十本】,黄贵,丑,male,
01027005,三门街【九、十本】,丑丫鬟,彩旦,female,
01027005,三门街【九、十本】,打擂者甲,丑,male,
01027005,三门街【九、十本】,打擂者乙,丑,male,
01027005,三门街【九、十本】,范安,末,unknown,
01027005,三门街【九、十本】,范保,副,unknown,
01027005,三门街【九、十本】,邻人甲,末,unknown,
01027005,三门街【九、十本】,邻人乙,丑,male,
01027005,三门街【九、十本】,郑龙,副净,unknown,
01027005,三门街【九、十本】,郑虎,副净,unknown,
01027005,三门街【九、十本】,掌柜,外,unknown,
01027006,怒斩于神仙,孙策,武生,male,
01027006,怒斩于神仙,于吉,老生,male,
01027006,怒斩于神仙,孙母,老旦,female,
01027006,怒斩于神仙,许贡,净,male,
01027006,怒斩于神仙,门客甲,丑,male,
01027006,怒斩于神仙,门客乙,丑,male,
01027006,怒斩于神仙,门客丙,丑,male,
01027006,怒斩于神仙,病人甲,外,unknown,
01027006,怒斩于神仙,病人乙,末,unknown,
01027006,怒斩于神仙,病人丙,小生,male,
01027006,怒斩于神仙,病人丁,丑,male,
01027006,怒斩于神仙,老妇,老旦,female,
01027006,怒斩于神仙,少妇,旦,female,
01027006,怒斩于神仙,大乔,旦,female,
01027007,戏牡丹,吕洞宾,生,unknown,
01027007,戏牡丹,牡丹,旦,female,
01027008,打沙锅,胡抡,丑,male,
01027008,打沙锅,县官,丑,male,
01027008,打沙锅,山西人,丑,male,
01027008,打沙锅,胡子林,末,unknown,
01027009,抚边筑城,袁崇焕,老生,male,
01027009,抚边筑城,祖大寿,净,male,
01027009,抚边筑城,奴尔哈赤,净,male,
01027009,抚边筑城,皇太极,副净,unknown,
01027009,抚边筑城,多尔衮,小生,male,
01027009,抚边筑城,四贝勒妃,武旦,female,
01027009,抚边筑城,王在晋,末,unknown,
01027009,抚边筑城,满桂,净,male,
01027009,抚边筑城,左辅,副净,unknown,
01027009,抚边筑城,何可刚,末,unknown,
01027009,抚边筑城,朱海,小生,male,
01027009,抚边筑城,土地,丑,male,
01027009,抚边筑城,家将,丑,male,
01027009,抚边筑城,赵率教,末,unknown,
01027009,抚边筑城,辽婆,彩旦,female,
01027010,晋阳宫,李渊,老生,male,
01027010,晋阳宫,张妃,旦,female,
01027010,晋阳宫,尹妃,旦,female,
01027010,晋阳宫,裴寂,丑,male,
01027011,战潼台,刘智远,武生,male,
01027011,战潼台,岳彦真,末,unknown,
01027011,战潼台,岳存训,小生,male,
01027011,战潼台,朱文杰,丑,male,
01027011,战潼台,朱温,净,male,
01027012,看香头,严氏,旦,female,
01027012,看香头,倪员外,末,unknown,
01027012,看香头,倪安人,老旦,female,
01027013,长生乐,刘晨,小生,male,
01027013,长生乐,夫人,老旦,female,
01027013,长生乐,康宁,净,male,
01027013,长生乐,永庆,彩旦,female,
01027013,长生乐,皇上,生,unknown,
01027013,长生乐,刘子,末,unknown,
01027013,长生乐,刘子妇,正旦,unknown,
01027013,长生乐,刘孙,老生,male,
01027013,长生乐,刘孙妇,旦,female,
01027013,长生乐,刘曾孙,小生,male,
01027013,长生乐,刘曾孙妇,小旦,unknown,
01027013,长生乐,富贵,丑,male,
01027013,长生乐,鹤松寿,外,unknown,
01027013,长生乐,永长春,末,unknown,
01027013,长生乐,福康太,老生,male,
01027013,长生乐,万年青,小生,male,
01028001,童女斩蛇,李奇娥,旦,female,
01028001,童女斩蛇,李诞,末,unknown,
01028001,童女斩蛇,刘氏,老旦,female,
01028001,童女斩蛇,赵铁嘴,丑,male,
01028001,童女斩蛇,何仙姑,丑,male,
01028001,童女斩蛇,慕贞,旦,female,
01028001,童女斩蛇,知县,丑,male,
01028002,九阳钟【头本】,陈希真,末,unknown,
01028002,九阳钟【头本】,陈丽卿,贴旦,unknown,
01028002,九阳钟【头本】,高世德,丑,male,
01028002,九阳钟【头本】,高俅,净,male,
01028002,九阳钟【头本】,高升,丑,male,
01028002,九阳钟【头本】,高福,丑,male,
01028002,九阳钟【头本】,孙高,丑,male,
01028002,九阳钟【头本】,薛宝,丑,male,
01028002,九阳钟【头本】,宋徽宗,生,unknown,
01028002,九阳钟【头本】,种师道,外,unknown,
01028002,九阳钟【头本】,蔡京,净,male,
01028002,九阳钟【头本】,赵忭,末,unknown,
01028002,九阳钟【头本】,童贯,副净,unknown,
01028002,九阳钟【头本】,范天喜,丑,male,
01028002,九阳钟【头本】,孙进,丑,male,
01028002,九阳钟【头本】,宋江,末,unknown,
01028002,九阳钟【头本】,吴用,丑,male,
01028002,九阳钟【头本】,朱仝,生,unknown,
01028002,九阳钟【头本】,雷横,副净,unknown,
01028002,九阳钟【头本】,索超,副净,unknown,
01028002,九阳钟【头本】,秦明,副净,unknown,
01028002,九阳钟【头本】,戴宗,末,unknown,
01028002,九阳钟【头本】,周通,净,male,
01028002,九阳钟【头本】,诸大娘,武旦,female,
01028002,九阳钟【头本】,店小二,武丑,unknown,
01028002,九阳钟【头本】,邓云,副净,unknown,
01028002,九阳钟【头本】,门官,丑,male,
01028002,九阳钟【头本】,魏景,净,male,
01028002,九阳钟【头本】,王耀,净,male,
01028002,九阳钟【头本】,邝金龙,副净,unknown,
01028002,九阳钟【头本】,沙摩海,副净,unknown,
01028002,九阳钟【头本】,茶博士,丑,male,
01028002,九阳钟【头本】,店伙,丑,male,
01028003,行路哭灵,康氏,老旦,female,
01028003,行路哭灵,张义,丑,male,
01028003,行路哭灵,张仁,老生,male,
01028005,磨房产子,李三娘,正旦,unknown,
01028005,磨房产子,刘智远,正生,unknown,
01028005,磨房产子,刘氏,丑旦,female,
01028005,磨房产子,窦有功,老生,male,
01028005,磨房产子,送子观音,旦,female,
01028005,磨房产子,张仙,生,unknown,
01028005,磨房产子,护法,小生,male,
01028005,磨房产子,二衙役,丑,male,
01028006,蜈蚣岭,武松,武生,male,
01028006,蜈蚣岭,王飞天,净,male,
01028006,蜈蚣岭,张志善,末,unknown,
01028006,蜈蚣岭,院子,外,unknown,
01028007,困曹府,赵匡胤,红生,unknown,
01028007,困曹府,曹彬,小生,male,
01028007,困曹府,张氏,旦,female,
01028007,困曹府,华佗,末,unknown,
01028009,沙桥饯别,李世民,老生,male,
01028009,沙桥饯别,唐三藏,小生,male,
01028009,沙桥饯别,徐勣,外,unknown,
01028009,沙桥饯别,房玄龄,末,unknown,
01028009,沙桥饯别,殷开山,副净,unknown,
01028009,沙桥饯别,尉迟恭,净,male,
01028010,背凳,张三,丑,male,
01028010,背凳,老婆,花旦,female,
01028010,背凳,尤二,丑,male,
01029001,花田错【后本】,卞机,小生,male,
01029001,花田错【后本】,刘月英,旦,female,
01029001,花田错【后本】,周玉楼,旦,female,
01029001,花田错【后本】,春兰,花旦,female,
01029001,花田错【后本】,刘得明,老生,male,
01029001,花田错【后本】,周通,净,male,
01029001,花田错【后本】,鲁智深,副净,unknown,
01029001,花田错【后本】,李忠,生,unknown,
01029002,关王庙,玉堂春,花旦,female,
01029002,关王庙,王金龙,小生,male,
01029002,关王庙,金哥,丑,male,
01029002,关王庙,忘八,付,unknown,
01029002,关王庙,鸨儿,丑旦,female,
01029004,九阳钟【二本】,陈希真,末,unknown,
01029004,九阳钟【二本】,陈丽卿,贴旦,unknown,
01029004,九阳钟【二本】,云天彪,红净,unknown,
01029004,九阳钟【二本】,蔡京,净,male,
01029004,九阳钟【二本】,张觷,末,unknown,
01029004,九阳钟【二本】,杨时,末,unknown,
01029004,九阳钟【二本】,宋江,末,unknown,
01029004,九阳钟【二本】,吴用,丑,male,
01029004,九阳钟【二本】,乐和,武生,male,
01029004,九阳钟【二本】,萧让,末,unknown,
01029004,九阳钟【二本】,梁世杰,生,unknown,
01029004,九阳钟【二本】,蔡夫人,旦,female,
01029004,九阳钟【二本】,辛从忠,武生,male,
01029004,九阳钟【二本】,邓宗弼,净,male,
01029004,九阳钟【二本】,张应雷,净,unknown,紫面
01029004,九阳钟【二本】,陶震霆,净,unknown,蓝面
01029004,九阳钟【二本】,杨腾蛟,净,male,
01029004,九阳钟【二本】,云威,外,unknown,
01029004,九阳钟【二本】,云龙,武生,male,
01029004,九阳钟【二本】,刘广,末,unknown,
01029004,九阳钟【二本】,刘麒,副净,unknown,
01029004,九阳钟【二本】,刘麟,武生,male,
01029004,九阳钟【二本】,刘夫人,正旦,unknown,
01029004,九阳钟【二本】,刘麒妻,武旦,female,
01029004,九阳钟【二本】,刘麟妻,武旦,female,
01029004,九阳钟【二本】,刘慧娘,旦,female,
01029004,九阳钟【二本】,刘母,老旦,female,
01029004,九阳钟【二本】,范成龙,副净,unknown,
01029004,九阳钟【二本】,真祥麟,武生,male,
01029004,九阳钟【二本】,苟桓,净,male,
01029004,九阳钟【二本】,苟英,武生,male,
01029004,九阳钟【二本】,参谋官,丑,male,
01029004,九阳钟【二本】,丑旗牌,丑,male,
01029004,九阳钟【二本】,差官,末,unknown,
01029004,九阳钟【二本】,尉迟大娘,彩旦,female,
01029005,普球山,邹应龙,净,male,
01029005,普球山,蔡庆,净,male,
01029005,普球山,窦氏,彩旦,female,
01029005,普球山,彭朋,末,unknown,
01029005,普球山,蔡金花,旦,female,
01029005,普球山,李桂莲,旦,female,
01029005,普球山,徐盛,武生,male,
01029005,普球山,万君兆,武生,male,
01029005,普球山,李佩,净,male,
01029005,普球山,杨香武,丑,male,
01029005,普球山,高通海,丑,male,
01029005,普球山,刘德泰,丑,male,
01029005,普球山,英雄甲,外,unknown,
01029005,普球山,英雄乙,净,male,
01029005,普球山,英雄丙,生,unknown,
01029005,普球山,英雄丁,末,unknown,
01029006,赐剑督师,袁崇焕,生,unknown,
01029006,赐剑督师,皇太极,副净,unknown,
01029006,赐剑督师,博尔济吉特氏,武旦,female,
01029006,赐剑督师,崇祯,生,unknown,
01029006,赐剑督师,陈圆圆,花旦,female,
01029006,赐剑督师,纪信,丑,male,
01029006,赐剑督师,满桂,净,male,
01029006,赐剑督师,左辅,副净,unknown,
01029006,赐剑督师,何可刚,末,unknown,
01029006,赐剑督师,朱海,小生,male,
01029006,赐剑督师,祖大寿,净,male,
01029006,赐剑督师,袁母,老旦,female,
01029006,赐剑督师,袁妻,正旦,unknown,
01029006,赐剑督师,黄门官,外,unknown,
01029006,赐剑督师,老鸨,彩旦,female,
01029006,赐剑督师,家人,外,unknown,
01029006,赐剑督师,番将,副净,unknown,
01029006,赐剑督师,周奎,净,male,
01029006,赐剑督师,福临儿,娃娃生,unknown,
01029007,吴汉杀妻,吴汉,老生,male,
01029007,吴汉杀妻,王兰英,旦,female,
01029007,吴汉杀妻,吴母,老旦,female,
01029007,吴汉杀妻,刘秀,小生,male,
01030001,黛玉焚稿,林黛玉,旦,female,
01030001,黛玉焚稿,贾宝玉,小生,male,
01030004,三雅园,余乔龙,武生,male,
01030004,三雅园,罗虎,武生,male,
01030004,三雅园,黑老虎,净,male,
01030004,三雅园,黑妻,贴旦,unknown,
01030004,三雅园,彭玉麟,老生,male,
01030004,三雅园,僧人,末,unknown,
01030004,三雅园,阿二,丑,male,
01030004,三雅园,香客甲,丑,male,
01030004,三雅园,香客乙,丑,male,
01030004,三雅园,李志龙,副净,unknown,
01030006,访毛,袁崇焕,生,unknown,
01030006,访毛,毛文龙,武小生,unknown,
01030006,访毛,船户,外,unknown,
01030006,访毛,王虎,外,unknown,
01030006,访毛,小二,丑,male,
01030006,访毛,官役,外,unknown,
01030006,访毛,祖大寿,净,male,
01030006,访毛,汪翥,副净,unknown,
01030006,访毛,毛永义,丑,male,
01030006,访毛,中军,外,unknown,
01030008,串珠记,魏打算,丑,male,
01030008,串珠记,祝玉兰,旦,female,
01030008,串珠记,祝有德,生,unknown,
01030008,串珠记,祝母,老旦,female,
01030008,串珠记,蔡鸣凤,小生,male,
01030008,串珠记,宋标,净,male,
01030008,串珠记,范材密,丑,male,
01030008,串珠记,丑仆,丑,male,
01030009,贾政训子,贾政,生,unknown,
01030009,贾政训子,贾宝玉,小生,male,
01030009,贾政训子,贾环,丑,male,
01030009,贾政训子,贾母,老旦,female,
01030009,贾政训子,王府长史,净,male,
01030009,贾政训子,家院,末,unknown,
01030009,贾政训子,婆子,彩旦,female,
01030009,贾政训子,鸳鸯,贴旦,unknown,
01030009,贾政训子,琥珀,贴旦,unknown,
01030010,十二红【头本】,毕朋,丑,male,
01030010,十二红【头本】,周妻,旦,female,
01031002,牢狱鸳鸯【头、二本】,郦珊柯,旦,female,
01031002,牢狱鸳鸯【头、二本】,卫玉,小生,male,
01031002,牢狱鸳鸯【头、二本】,周天爵,老生,male,
01031002,牢狱鸳鸯【头、二本】,金二朋,丑,male,
01031002,牢狱鸳鸯【头、二本】,嫂子,花旦,female,
01031002,牢狱鸳鸯【头、二本】,吴延福,小生,male,
01031002,牢狱鸳鸯【头、二本】,郦端甫,末,unknown,
01031002,牢狱鸳鸯【头、二本】,贾文明,丑,male,
01031002,牢狱鸳鸯【头、二本】,傧相,丑,male,
01031002,牢狱鸳鸯【头、二本】,县令,丑,male,
01031002,牢狱鸳鸯【头、二本】,府尹,末,unknown,
01031002,牢狱鸳鸯【头、二本】,马志虎,净,male,
01031002,牢狱鸳鸯【头、二本】,牛秃儿,丑,male,
01031002,牢狱鸳鸯【头、二本】,狱官,丑,male,
01031002,牢狱鸳鸯【头、二本】,禁婆,丑,male,
01031003,博浪锥,张良,武生,male,
01031003,博浪锥,苍海公,净,male,
01031003,博浪锥,秦始皇,净,male,
01031004,闺房戏,管道昇,花旦,female,
01031004,闺房戏,赵子昂,小生,male,
01031004,闺房戏,张妈,彩旦,female,
01031005,晴雯撕扇,晴雯,正旦,unknown,
01031005,晴雯撕扇,贾宝玉,小生,male,
01031006,莲花塘,孙悟空,武生,male,
01031006,莲花塘,母龙,武旦,female,
01031006,莲花塘,小龙,小生,male,
01031006,莲花塘,老龙,净,male,
01031006,莲花塘,杨氏,贴旦,unknown,
01031006,莲花塘,丫鬟,丑,male,
01031006,莲花塘,金钱子,副净,unknown,
01031006,莲花塘,达摩,净,male,
01031006,莲花塘,县官,老生,male,
01031008,桂阳城,赵云,武生,male,
01031008,桂阳城,赵范,老生,male,
01031008,桂阳城,樊氏,贴旦,unknown,
01031008,桂阳城,陈应,副净,unknown,
01031008,桂阳城,鲍龙,副净,unknown,
01031009,雍凉关,诸葛亮,老生,male,
01031009,雍凉关,司马懿,净,male,
01031009,雍凉关,马谡,净,male,
01031009,雍凉关,曹睿,小生,male,
01031009,雍凉关,司马师,净,male,
01031009,雍凉关,司马昭,小生,male,
01031009,雍凉关,贾诩,末,unknown,
01031010,选元戎,程咬金,丑,male,
01031010,选元戎,唐王,老生,male,
01031010,选元戎,秦英,武生,male,
01031010,选元戎,房玄龄,外,unknown,
01031010,选元戎,詹龙,净,male,
01031010,选元戎,朝臣丙,末,unknown,
01031010,选元戎,朝臣丁,丑,male,
01031010,选元戎,罗章,武生,male,
01031010,选元戎,童乙,净,male,
01031011,借茶活捉,阎婆惜,花旦,female,
01031011,借茶活捉,张文远,丑,male,
01031012,瑶池会,东方朔,丑,male,
01031012,瑶池会,康宁,外,unknown,
01031012,瑶池会,夫人,旦,female,
01032002,连环套【头、二本】,窦尔敦,净,male,
01032002,连环套【头、二本】,黄天霸,武生,male,
01032002,连环套【头、二本】,梁九公,净,male,
01032002,连环套【头、二本】,朱光祖,丑,male,
01032002,连环套【头、二本】,彭朋,外,unknown,
01032002,连环套【头、二本】,四家将,丑,male,
01032002,连环套【头、二本】,大蒙古人,丑,male,
01032002,连环套【头、二本】,小蒙古人,丑,male,
01032002,连环套【头、二本】,更夫甲,丑,male,
01032002,连环套【头、二本】,更夫乙,丑,male,
01032002,连环套【头、二本】,兵丁甲,末,unknown,
01032002,连环套【头、二本】,兵丁乙,副净,unknown,
01032003,连环套【四本】,朱光祖,武丑,unknown,
01032003,连环套【四本】,窦尔敦,净,male,
01032003,连环套【四本】,黄天霸,武生,male,
01032005,新四十八扯,赵瑶颜,旦,female,
01032005,新四十八扯,赵晃,丑,male,
01032006,芙蓉诔,晴雯,旦,female,
01032006,芙蓉诔,贾宝玉,小生,male,
01032006,芙蓉诔,焙茗,丑,male,
01032006,芙蓉诔,丫鬟,贴旦,unknown,
01032006,芙蓉诔,仙女,贴旦,unknown,
01032006,芙蓉诔,晴雯嫂嫂,丑,male,
01032006,芙蓉诔,五儿,旦,female,
01032007,党人碑,谢琼仙,生,unknown,
01032007,党人碑,傅人龙,武生,male,
01032007,党人碑,酒保,丑,male,
01032007,党人碑,差官甲,副净,unknown,
01032007,党人碑,差官乙,丑,male,
01032007,党人碑,方氏,彩旦,female,
01032008,白傅遣姬,白居易,外,unknown,
01032008,白傅遣姬,樊素,贴旦,unknown,
01032009,安五路,诸葛亮,老生,male,
01032009,安五路,邓芝,老生,male,
01032009,安五路,刘禅,小生,male,
01032009,安五路,孙权,净,male,
01032009,安五路,张昭,外,unknown,
01032009,安五路,顾雍,末,unknown,
01032009,安五路,张温,小生,male,
01032012,浣纱溪,西施,旦,female,
01032012,浣纱溪,范蠡,老生,male,
01032012,浣纱溪,东施,彩旦,female,
01033001,狸猫换太子【头本】,陈琳,老生,male,
01033001,狸猫换太子【头本】,寇珠,花衫,unknown,
01033001,狸猫换太子【头本】,李妃,花衫,unknown,
01033001,狸猫换太子【头本】,刘妃,花衫,unknown,
01033001,狸猫换太子【头本】,郭槐,净,male,
01033001,狸猫换太子【头本】,宋真宗,老生,male,
01033001,狸猫换太子【头本】,赵德芳,老生,male,
01033001,狸猫换太子【头本】,狄妃,花衫,unknown,
01033001,狸猫换太子【头本】,包山,生,unknown,
01033001,狸猫换太子【头本】,包海,丑,male,
01033001,狸猫换太子【头本】,王氏,花衫,unknown,
01033001,狸猫换太子【头本】,李氏,花衫,unknown,
01033001,狸猫换太子【头本】,包员外,老生,male,
01033001,狸猫换太子【头本】,安人,老旦,female,
01033001,狸猫换太子【头本】,包拯,娃娃生,unknown,
01033001,狸猫换太子【头本】,秦凤,丑,male,
01033001,狸猫换太子【头本】,太子,娃娃生,unknown,
01033001,狸猫换太子【头本】,储王,娃娃生,unknown,
01033001,狸猫换太子【头本】,包勉,娃娃生,unknown,
01033001,狸猫换太子【头本】,突利可汗,净,male,
01033001,狸猫换太子【头本】,曹文豹,净,male,
01033001,狸猫换太子【头本】,曹文虎,老生,male,
01033001,狸猫换太子【头本】,土地,丑,male,
01033002,水漫金山寺,白素贞,旦,female,
01033002,水漫金山寺,许仙,小生,male,
01033002,水漫金山寺,法海,外,unknown,
01033002,水漫金山寺,监寺,副,unknown,
01033002,水漫金山寺,船家,净,male,
01033004,贺后骂殿,赵光义,老生,male,
01033004,贺后骂殿,贺后,正旦,unknown,
01033004,贺后骂殿,赵德元,小生,male,
01033004,贺后骂殿,赵德芳,小生,male,
01033004,贺后骂殿,潘洪,净,male,
01033004,贺后骂殿,张永恩,老生,male,
01034003,汴梁图,王子,生,unknown,
01034003,汴梁图,刘瑞莲,旦,female,
01034003,汴梁图,西宫,旦,female,
01034003,汴梁图,太师,净,male,
01034004,池水驿,殷碧莲,花旦,female,
01034004,池水驿,倪厚,小生,male,
01034004,池水驿,殷照磨,老生,male,
01034004,池水驿,张润和,丑,male,
01034004,池水驿,殷夫人,老旦,female,
01034006,镔铁剑,妹妹,花旦,female,
01034006,镔铁剑,公子,小生,male,
01034006,镔铁剑,院子,丑,male,
01034006,镔铁剑,丑公子,丑,male,
01034007,艾孝子,艾子诚,小生,male,
01034007,艾孝子,周仁全,老生,male,
01034007,艾孝子,康氏,旦,female,
01034007,艾孝子,周素秋,小旦,unknown,
01034007,艾孝子,艾文仲,外,unknown,
01034007,艾孝子,家童,丑,male,
01034007,艾孝子,老马贼,净,male,
01034007,艾孝子,小马贼,净,male,
01034008,醋中醋,张和尚,丑,male,
01034008,醋中醋,钱素娟,旦,female,
01034008,醋中醋,闵子千,小生,male,
01034008,醋中醋,钱母,老旦,female,
01034008,醋中醋,钱舅,丑,male,
01034008,醋中醋,钱父,外,unknown,
01035001,五虎平西,包拯,净,male,
01035001,五虎平西,庞吉,净,male,
01035001,五虎平西,宋仁宗,小生,male,
01035001,五虎平西,赵德芳,老生,male,
01035001,五虎平西,展昭,武生,male,
01035001,五虎平西,郭槐,净,male,
01035001,五虎平西,庞妃,旦,female,
01035001,五虎平西,李后,老旦,female,
01035001,五虎平西,寇珠,花衫,unknown,
01035001,五虎平西,包兴,丑,male,
01035001,五虎平西,范仲华,丑,male,
01035002,徐母骂曹,徐母,老旦,female,
01035002,徐母骂曹,曹操,净,male,
01035002,徐母骂曹,程昱,老生,male,
01035003,宝玉出家,贾宝玉,小生,male,
01035003,宝玉出家,贾政,老生,male,
01035003,宝玉出家,茫茫大士,净,male,
01035003,宝玉出家,渺渺真人,外,unknown,
01035003,宝玉出家,稍水甲,付,unknown,
01035003,宝玉出家,稍水乙,丑,male,
01035003,宝玉出家,下书人,杂,unknown,
01035004,新三娘教子,王春娥,青衣,female,
01035004,新三娘教子,薛保,外,unknown,
01035004,新三娘教子,薛子奇,老生,male,
01035004,新三娘教子,薛倚,小生,male,
01035004,新三娘教子,张氏,旦,female,
01035004,新三娘教子,刘氏,旦,female,
01035005,慈孝图,吴明诗,正生,unknown,
01035005,慈孝图,夫人,正旦,unknown,
01035005,慈孝图,小姐,小旦,unknown,
01035005,慈孝图,院子,老生,male,
01035005,慈孝图,公子,幼生,unknown,
01035005,慈孝图,兵卒丁,丑,male,
01035006,道州城,沈云英,武旦,female,
01035006,道州城,沈至绪,老生,male,
01035006,道州城,李氏,贴旦,unknown,
01035006,道州城,张献忠,净,male,
01035006,道州城,反将甲,副净,unknown,
01035006,道州城,反将乙,丑,male,
01035006,道州城,小丫鬟,旦,female,
01035006,道州城,姬尚勇,武生,male,
01035006,道州城,老太婆,老旦,female,
01035007,凤凰山,马三保,老生,male,
01035007,凤凰山,盖贤谟,净,male,
01035007,凤凰山,尉迟恭,净,male,
01035007,凤凰山,徐勣,老生,male,
01035008,麻姑献寿,麻姑,旦,female,
01035008,麻姑献寿,金母,老旦,female,
01035008,麻姑献寿,李铁拐,净,male,
